Company,Role,Experience Level (Years),Salary (INR in LPA)
Wipro,Business Analyst,0-1,4.8
KPMG,Data Analyst,5-7,9.8
KPMG,Business Analyst,3-5,9.3
Infosys,Business Analyst,1-2,5.9
IBM,Marketing Analyst,0-1,4.9
McKinsey,Data Analyst,5-7,9.6
Wipro,Business Analyst,7+,12.9
KPMG,Financial Analyst,5-7,11.1
McKinsey,Marketing Analyst,5-7,8.5
HCL,Data Analyst,2-3,6.3
Accenture,Financial Analyst,7+,13
Accenture,Marketing Analyst,0-1,4.4
Capgemini,Operations Analyst,3-5,6.9
HCL,Marketing Analyst,7+,11
HCL,Operations Analyst,0-1,4.2
EY,Operations Analyst,1-2,4.2
Cognizant,Marketing Analyst,5-7,9
IBM,Operations Analyst,0-1,4.2
Infosys,Business Analyst,1-2,6.4
Wipro,Data Analyst,0-1,4.5
KPMG,Operations Analyst,3-5,6.9
HCL,Operations Analyst,0-1,4.5
McKinsey,Business Analyst,5-7,11.9
IBM,Operations Analyst,7+,10.7
Wipro,Operations Analyst,1-2,4.3
Genpact,Data Analyst,5-7,10.3
Cognizant,Data Analyst,0-1,4.8
Wipro,Marketing Analyst,2-3,5.4
IBM,Business Analyst,5-7,11.4
EY,Financial Analyst,1-2,6.1
PwC,Data Analyst,1-2,5.5
EY,Operations Analyst,7+,11
Infosys,Operations Analyst,3-5,6.7
PwC,Operations Analyst,5-7,8.9
Wipro,Financial Analyst,1-2,5.7
Cognizant,Operations Analyst,7+,10.6
KPMG,Data Analyst,2-3,6.7
Cognizant,Financial Analyst,2-3,6.9
IBM,Financial Analyst,1-2,5.5
Infosys,Business Analyst,5-7,10.8
Genpact,Operations Analyst,5-7,8.9
KPMG,Marketing Analyst,5-7,8.8
Accenture,Business Analyst,3-5,8.1
PwC,Marketing Analyst,5-7,9.2
Accenture,Financial Analyst,2-3,6.6
Deloitte,Data Analyst,2-3,6.9
Infosys,Marketing Analyst,5-7,10
Genpact,Financial Analyst,1-2,4.7
Accenture,Financial Analyst,0-1,4.8
EY,Operations Analyst,3-5,7.7
Capgemini,Financial Analyst,0-1,4.9
Genpact,Marketing Analyst,7+,10.5
TCS,Operations Analyst,7+,9.9
Genpact,Data Analyst,5-7,10.8
PwC,Financial Analyst,7+,12.8
Genpact,Marketing Analyst,1-2,5.1
KPMG,Data Analyst,3-5,8.9
Cognizant,Business Analyst,1-2,5.6
Genpact,Financial Analyst,7+,13.3
Genpact,Financial Analyst,3-5,7.9
EY,Operations Analyst,3-5,7.3
Infosys,Financial Analyst,5-7,10.3
IBM,Data Analyst,7+,12.7
Cognizant,Business Analyst,0-1,5
TCS,Operations Analyst,0-1,4
HCL,Marketing Analyst,0-1,4.3
Capgemini,Business Analyst,7+,13.7
Deloitte,Data Analyst,7+,12
Cognizant,Data Analyst,3-5,8.6
Cognizant,Marketing Analyst,2-3,6
Deloitte,Marketing Analyst,5-7,8.3
IBM,Operations Analyst,2-3,5.6
HCL,Financial Analyst,3-5,9.1
IBM,Operations Analyst,0-1,3.8
PwC,Financial Analyst,0-1,4.6
Infosys,Operations Analyst,0-1,4.2
Wipro,Data Analyst,2-3,6.2
Wipro,Operations Analyst,2-3,5.5
Infosys,Marketing Analyst,7+,11
Infosys,Financial Analyst,0-1,4
TCS,Financial Analyst,0-1,5.6
KPMG,Business Analyst,7+,13.2
Deloitte,Operations Analyst,3-5,6.9
Cognizant,Business Analyst,5-7,11.4
Deloitte,Operations Analyst,7+,10.2
Deloitte,Marketing Analyst,5-7,8.5
Deloitte,Financial Analyst,5-7,10.2
TCS,Operations Analyst,1-2,4.1
Infosys,Marketing Analyst,7+,10.3
McKinsey,Operations Analyst,1-2,4.2
PwC,Operations Analyst,7+,10.3
ZS Associates,Business Analyst,5-7,10.5
Infosys,Marketing Analyst,3-5,7
TCS,Business Analyst,5-7,12
Wipro,Marketing Analyst,7+,10.1
PwC,Data Analyst,2-3,6.4
McKinsey,Business Analyst,1-2,6.2
HCL,Business Analyst,1-2,6.6
Accenture,Operations Analyst,2-3,6.2
Infosys,Financial Analyst,5-7,9.8
Genpact,Marketing Analyst,0-1,4.5
TCS,Operations Analyst,7+,11.3
ZS Associates,Business Analyst,7+,12.5
HCL,Data Analyst,1-2,5.5
Accenture,Operations Analyst,1-2,4.7
Infosys,Operations Analyst,5-7,8.6
Wipro,Data Analyst,0-1,4.5
KPMG,Financial Analyst,1-2,5.4
Capgemini,Business Analyst,0-1,4.8
McKinsey,Financial Analyst,3-5,8.1
ZS Associates,Data Analyst,3-5,8.2
KPMG,Business Analyst,3-5,8.4
Wipro,Financial Analyst,1-2,5.5
EY,Marketing Analyst,1-2,4.7
McKinsey,Financial Analyst,0-1,5.7
HCL,Data Analyst,0-1,4.7
IBM,Data Analyst,2-3,6.9
PwC,Marketing Analyst,7+,11
TCS,Data Analyst,0-1,3.8
Capgemini,Financial Analyst,5-7,10.6
TCS,Business Analyst,3-5,7.9
HCL,Data Analyst,5-7,9.9
EY,Marketing Analyst,0-1,3.9
Genpact,Data Analyst,3-5,7.2
Accenture,Operations Analyst,3-5,7.4
Wipro,Operations Analyst,0-1,4.3
HCL,Business Analyst,7+,12.5
IBM,Financial Analyst,7+,11.9
TCS,Business Analyst,5-7,11
Deloitte,Marketing Analyst,7+,11.4
KPMG,Financial Analyst,7+,11.7
PwC,Business Analyst,2-3,6.7
Cognizant,Financial Analyst,7+,12.8
Accenture,Financial Analyst,1-2,5.8
McKinsey,Business Analyst,1-2,6.3
IBM,Business Analyst,5-7,11
Deloitte,Data Analyst,5-7,9.3
PwC,Marketing Analyst,0-1,4.2
HCL,Financial Analyst,5-7,10.3
Wipro,Operations Analyst,0-1,4.2
Infosys,Business Analyst,0-1,4.7
Genpact,Marketing Analyst,5-7,8.8
Accenture,Operations Analyst,0-1,4.1
IBM,Financial Analyst,0-1,4.6
TCS,Marketing Analyst,1-2,5.1
KPMG,Marketing Analyst,3-5,6.9
Genpact,Business Analyst,3-5,9.5
Capgemini,Business Analyst,3-5,10
IBM,Marketing Analyst,1-2,5.3
Infosys,Operations Analyst,2-3,4.7
Infosys,Operations Analyst,5-7,10.1
Capgemini,Financial Analyst,0-1,4.8
Wipro,Marketing Analyst,5-7,8.5
Wipro,Marketing Analyst,7+,11.3
McKinsey,Operations Analyst,2-3,6.8
ZS Associates,Financial Analyst,7+,12.6
PwC,Business Analyst,1-2,6.9
Infosys,Financial Analyst,7+,12.6
Genpact,Data Analyst,1-2,5.9
Deloitte,Operations Analyst,0-1,4
Deloitte,Marketing Analyst,0-1,4.3
TCS,Financial Analyst,7+,12
McKinsey,Data Analyst,5-7,10
Deloitte,Financial Analyst,2-3,6.2
McKinsey,Business Analyst,0-1,4.1
Infosys,Business Analyst,2-3,6.9
Accenture,Financial Analyst,1-2,6.6
HCL,Business Analyst,0-1,4.8
KPMG,Data Analyst,7+,11.4
HCL,Operations Analyst,5-7,8.5
Accenture,Financial Analyst,1-2,5.5
ZS Associates,Marketing Analyst,7+,11
Cognizant,Business Analyst,3-5,9.2
IBM,Marketing Analyst,1-2,5.8
Deloitte,Financial Analyst,5-7,9.7
McKinsey,Financial Analyst,2-3,6
Capgemini,Data Analyst,5-7,9.6
Cognizant,Marketing Analyst,1-2,4.7
TCS,Marketing Analyst,7+,11.3
TCS,Financial Analyst,5-7,10.1
ZS Associates,Operations Analyst,5-7,8.9
Deloitte,Business Analyst,2-3,7.1
Cognizant,Data Analyst,0-1,5.1
KPMG,Operations Analyst,1-2,4.5
ZS Associates,Financial Analyst,3-5,8.4
TCS,Data Analyst,3-5,7.5
EY,Data Analyst,2-3,6.5
Accenture,Marketing Analyst,0-1,4
Wipro,Data Analyst,0-1,5.1
IBM,Financial Analyst,7+,12.9
Cognizant,Data Analyst,7+,11.5
Genpact,Operations Analyst,0-1,3.7
Wipro,Financial Analyst,1-2,4.5
McKinsey,Business Analyst,1-2,5.1
IBM,Financial Analyst,2-3,6.9
Infosys,Data Analyst,3-5,8.1
Deloitte,Business Analyst,3-5,7.8
Cognizant,Operations Analyst,2-3,6.2
Accenture,Marketing Analyst,3-5,7.3
TCS,Data Analyst,2-3,6.7
KPMG,Business Analyst,0-1,4
PwC,Marketing Analyst,7+,10.6
Deloitte,Financial Analyst,3-5,8.2
PwC,Operations Analyst,3-5,6.7
Capgemini,Financial Analyst,7+,12.9
Cognizant,Operations Analyst,5-7,9
PwC,Operations Analyst,0-1,4.5
Accenture,Financial Analyst,1-2,5.2
HCL,Operations Analyst,1-2,4.3
Deloitte,Marketing Analyst,0-1,4.8
Cognizant,Business Analyst,1-2,5.9
KPMG,Financial Analyst,7+,11.8
KPMG,Marketing Analyst,5-7,9.2
Genpact,Marketing Analyst,2-3,5.6
Capgemini,Marketing Analyst,1-2,5.1
Infosys,Business Analyst,7+,12.7
Deloitte,Financial Analyst,3-5,8.3
PwC,Financial Analyst,5-7,9.8
HCL,Data Analyst,1-2,5.1
Capgemini,Financial Analyst,1-2,5.8
Genpact,Data Analyst,2-3,6.7
Capgemini,Financial Analyst,1-2,6.1
EY,Operations Analyst,0-1,4.2
KPMG,Business Analyst,3-5,8.4
Cognizant,Marketing Analyst,2-3,5.5
Cognizant,Financial Analyst,1-2,6
Genpact,Financial Analyst,7+,12.4
Capgemini,Data Analyst,1-2,5.3
Wipro,Marketing Analyst,2-3,6.1
Genpact,Marketing Analyst,1-2,4
TCS,Financial Analyst,1-2,6.1
Capgemini,Data Analyst,0-1,4.8
HCL,Operations Analyst,7+,10.4
McKinsey,Operations Analyst,0-1,3.8
Wipro,Operations Analyst,5-7,9.5
IBM,Financial Analyst,1-2,5.7
Infosys,Marketing Analyst,3-5,7.1
Deloitte,Marketing Analyst,1-2,4.9
EY,Operations Analyst,3-5,6.5
PwC,Marketing Analyst,2-3,6.2
Accenture,Data Analyst,5-7,9.7
EY,Business Analyst,3-5,9.2
Wipro,Business Analyst,2-3,7.1
Accenture,Operations Analyst,2-3,5.3
KPMG,Financial Analyst,2-3,6.4
KPMG,Business Analyst,3-5,8.6
Cognizant,Operations Analyst,5-7,9
TCS,Marketing Analyst,3-5,7.5
IBM,Business Analyst,1-2,5.2
EY,Operations Analyst,0-1,4
IBM,Marketing Analyst,0-1,4.1
Wipro,Business Analyst,5-7,11.2
KPMG,Data Analyst,2-3,6.7
McKinsey,Data Analyst,3-5,8.3
Accenture,Operations Analyst,3-5,6.1
EY,Marketing Analyst,1-2,5.7
Capgemini,Business Analyst,7+,13.3
McKinsey,Financial Analyst,2-3,6.7
Genpact,Business Analyst,5-7,10.2
TCS,Marketing Analyst,3-5,7.1
Deloitte,Business Analyst,2-3,6.6
IBM,Data Analyst,2-3,6.5
IBM,Data Analyst,7+,11.5
ZS Associates,Operations Analyst,2-3,6.3
TCS,Operations Analyst,3-5,7.7
HCL,Data Analyst,3-5,8.8
EY,Marketing Analyst,2-3,6.5
HCL,Financial Analyst,7+,13.5
Wipro,Operations Analyst,2-3,5
Cognizant,Financial Analyst,3-5,8
Wipro,Data Analyst,3-5,7.9
HCL,Operations Analyst,7+,10.9
Wipro,Marketing Analyst,2-3,6.7
McKinsey,Business Analyst,0-1,4.8
McKinsey,Business Analyst,2-3,6.7
Wipro,Marketing Analyst,7+,11
PwC,Operations Analyst,5-7,9.3
Capgemini,Marketing Analyst,5-7,9.4
PwC,Data Analyst,1-2,4.6
IBM,Operations Analyst,5-7,8.7
PwC,Business Analyst,2-3,7.1
Wipro,Marketing Analyst,7+,11.9
EY,Financial Analyst,2-3,6.6
Cognizant,Business Analyst,1-2,6.2
Infosys,Business Analyst,1-2,6.3
Deloitte,Financial Analyst,0-1,4.8
Genpact,Operations Analyst,0-1,3.4
Accenture,Data Analyst,7+,12.6
McKinsey,Operations Analyst,5-7,8.2
ZS Associates,Operations Analyst,1-2,5
EY,Operations Analyst,2-3,5.8
ZS Associates,Marketing Analyst,5-7,9.6
PwC,Business Analyst,1-2,6.3
Accenture,Business Analyst,5-7,10.3
KPMG,Data Analyst,2-3,6.8
ZS Associates,Financial Analyst,0-1,4.6
McKinsey,Marketing Analyst,5-7,9.2
Wipro,Financial Analyst,2-3,6.7
KPMG,Business Analyst,7+,12.5
Wipro,Financial Analyst,2-3,6.7
TCS,Financial Analyst,1-2,5.6
McKinsey,Marketing Analyst,3-5,6.8
Infosys,Marketing Analyst,3-5,7.9
Accenture,Financial Analyst,1-2,5.2
PwC,Data Analyst,2-3,7.1
Genpact,Marketing Analyst,7+,10.2
Wipro,Marketing Analyst,3-5,7.8
Accenture,Data Analyst,2-3,6.7
EY,Operations Analyst,3-5,6.9
Genpact,Marketing Analyst,1-2,5.3
Accenture,Financial Analyst,5-7,10.2
KPMG,Operations Analyst,2-3,4.9
HCL,Business Analyst,5-7,12.2
Genpact,Financial Analyst,0-1,4.5
McKinsey,Operations Analyst,1-2,5.2
EY,Data Analyst,3-5,8.3
Wipro,Financial Analyst,7+,12.6
HCL,Marketing Analyst,3-5,7.1
EY,Financial Analyst,7+,13.6
KPMG,Marketing Analyst,7+,10.7
ZS Associates,Financial Analyst,5-7,10.6
Accenture,Operations Analyst,5-7,8.8
Wipro,Business Analyst,0-1,4.8
Genpact,Operations Analyst,3-5,6.9
Infosys,Business Analyst,3-5,8.6
IBM,Financial Analyst,0-1,5.2
Cognizant,Marketing Analyst,0-1,5.5
HCL,Financial Analyst,0-1,4.5
Infosys,Financial Analyst,0-1,4.8
Cognizant,Financial Analyst,2-3,6.3
Accenture,Marketing Analyst,3-5,8.5
IBM,Business Analyst,3-5,9.1
Cognizant,Data Analyst,3-5,7.7
Capgemini,Financial Analyst,2-3,6.4
Accenture,Marketing Analyst,0-1,4.3
Accenture,Data Analyst,3-5,8.6
Capgemini,Operations Analyst,5-7,8.4
KPMG,Data Analyst,0-1,3.9
Deloitte,Data Analyst,7+,12.3
Cognizant,Operations Analyst,5-7,7.7
TCS,Financial Analyst,3-5,8.7
KPMG,Marketing Analyst,0-1,4.2
EY,Financial Analyst,2-3,5.5
Deloitte,Marketing Analyst,5-7,8.8
TCS,Data Analyst,7+,11.1
ZS Associates,Data Analyst,0-1,5.1
HCL,Operations Analyst,2-3,5.3
Wipro,Business Analyst,1-2,5.7
Deloitte,Financial Analyst,5-7,10.1
HCL,Financial Analyst,1-2,5.2
Accenture,Marketing Analyst,5-7,8.8
HCL,Operations Analyst,1-2,4.2
Accenture,Marketing Analyst,7+,11.6
Wipro,Operations Analyst,5-7,9.4
KPMG,Financial Analyst,0-1,5.2
Genpact,Operations Analyst,0-1,3.7
IBM,Financial Analyst,2-3,7.4
Cognizant,Data Analyst,2-3,6.2
McKinsey,Marketing Analyst,2-3,6.2
Cognizant,Operations Analyst,3-5,7.6
HCL,Data Analyst,1-2,5.4
Wipro,Financial Analyst,5-7,10.5
Capgemini,Operations Analyst,0-1,3.3
IBM,Financial Analyst,1-2,5.2
HCL,Data Analyst,3-5,7.9
Capgemini,Operations Analyst,7+,9.8
McKinsey,Data Analyst,1-2,4.9
Infosys,Business Analyst,5-7,11.3
Cognizant,Operations Analyst,7+,10
ZS Associates,Data Analyst,7+,12.3
Capgemini,Business Analyst,2-3,7.8
PwC,Financial Analyst,2-3,6.6
McKinsey,Data Analyst,3-5,8.5
IBM,Data Analyst,1-2,5.6
Wipro,Business Analyst,0-1,5.1
Cognizant,Business Analyst,2-3,7
Cognizant,Marketing Analyst,5-7,8.7
Infosys,Data Analyst,7+,11.9
Accenture,Financial Analyst,3-5,8.7
Infosys,Business Analyst,5-7,11
KPMG,Data Analyst,7+,12.1
Capgemini,Marketing Analyst,0-1,4.5
KPMG,Operations Analyst,7+,10.3
KPMG,Operations Analyst,3-5,6
IBM,Financial Analyst,2-3,7.3
KPMG,Business Analyst,0-1,5.6
HCL,Financial Analyst,7+,12.6
Capgemini,Business Analyst,7+,13.2
Infosys,Marketing Analyst,7+,11.2
Genpact,Operations Analyst,5-7,9
EY,Business Analyst,2-3,6.8
IBM,Data Analyst,3-5,8.3
PwC,Financial Analyst,2-3,7.3
Capgemini,Financial Analyst,7+,12.5
IBM,Business Analyst,7+,13.6
Capgemini,Data Analyst,1-2,5.7
Wipro,Operations Analyst,5-7,8.8
Infosys,Marketing Analyst,3-5,8.1
Infosys,Data Analyst,0-1,4.8
Infosys,Operations Analyst,1-2,6
Deloitte,Business Analyst,1-2,6.9
HCL,Business Analyst,5-7,11.2
TCS,Data Analyst,7+,12.5
Accenture,Marketing Analyst,1-2,4.8
Genpact,Data Analyst,5-7,10.1
PwC,Business Analyst,2-3,6.3
Wipro,Marketing Analyst,0-1,4.5
KPMG,Business Analyst,5-7,11.6
PwC,Financial Analyst,5-7,10.5
TCS,Marketing Analyst,0-1,3.6
IBM,Data Analyst,5-7,10.3
McKinsey,Operations Analyst,2-3,6
KPMG,Marketing Analyst,3-5,8
PwC,Business Analyst,1-2,6.5
HCL,Operations Analyst,0-1,4.4
Wipro,Financial Analyst,0-1,5.1
TCS,Financial Analyst,5-7,11.3
ZS Associates,Operations Analyst,2-3,6.5
Genpact,Data Analyst,7+,12.8
Genpact,Data Analyst,1-2,5.7
Capgemini,Operations Analyst,7+,10.6
EY,Financial Analyst,7+,12.2
Wipro,Data Analyst,3-5,8.3
Infosys,Business Analyst,1-2,5.2
KPMG,Financial Analyst,2-3,6.4
KPMG,Business Analyst,5-7,10.9
ZS Associates,Operations Analyst,5-7,8.3
HCL,Marketing Analyst,1-2,4.9
Cognizant,Business Analyst,3-5,9.1
KPMG,Business Analyst,5-7,11.6
PwC,Financial Analyst,0-1,3.8
Genpact,Financial Analyst,7+,12.7
Deloitte,Business Analyst,1-2,6
Genpact,Marketing Analyst,3-5,7.2
EY,Business Analyst,2-3,7.2
ZS Associates,Data Analyst,1-2,5.8
Wipro,Data Analyst,1-2,6.1
Wipro,Financial Analyst,0-1,5
PwC,Operations Analyst,2-3,5
Genpact,Business Analyst,5-7,10.2
McKinsey,Data Analyst,5-7,9.6
Capgemini,Marketing Analyst,3-5,7.2
TCS,Business Analyst,1-2,6.5
IBM,Financial Analyst,0-1,5.5
KPMG,Operations Analyst,3-5,6.8
Capgemini,Data Analyst,5-7,10.6
KPMG,Financial Analyst,2-3,6.6
Cognizant,Business Analyst,1-2,6.8
Wipro,Business Analyst,1-2,5.6
Capgemini,Business Analyst,7+,12.9
Cognizant,Business Analyst,5-7,10.8
Capgemini,Business Analyst,2-3,7.4
Wipro,Data Analyst,7+,12.6
IBM,Financial Analyst,1-2,5.8
PwC,Operations Analyst,7+,10.9
Capgemini,Operations Analyst,2-3,5.3
ZS Associates,Financial Analyst,0-1,5.2
McKinsey,Marketing Analyst,5-7,9.7
HCL,Financial Analyst,2-3,6.9
ZS Associates,Operations Analyst,2-3,5.4
IBM,Business Analyst,0-1,5.6
PwC,Financial Analyst,2-3,6.3
Genpact,Data Analyst,3-5,7.3
Infosys,Business Analyst,3-5,7.7
ZS Associates,Financial Analyst,2-3,7.1
HCL,Marketing Analyst,0-1,3.2
Cognizant,Marketing Analyst,3-5,8.6
EY,Data Analyst,5-7,10
Accenture,Business Analyst,1-2,5.7
IBM,Business Analyst,5-7,9.9
Deloitte,Marketing Analyst,0-1,3.9
PwC,Financial Analyst,3-5,8.4
PwC,Marketing Analyst,3-5,6.7
Infosys,Business Analyst,0-1,5.3
McKinsey,Data Analyst,0-1,3.9
ZS Associates,Data Analyst,1-2,5.2
Accenture,Financial Analyst,7+,12.1
KPMG,Data Analyst,3-5,7
ZS Associates,Data Analyst,3-5,8.5
HCL,Operations Analyst,3-5,6.8
Wipro,Operations Analyst,5-7,9.4
IBM,Marketing Analyst,1-2,5
Accenture,Data Analyst,5-7,11.1
PwC,Financial Analyst,3-5,8.1
Wipro,Business Analyst,1-2,6.5
HCL,Operations Analyst,1-2,5.5
ZS Associates,Data Analyst,7+,12.1
ZS Associates,Data Analyst,2-3,6
McKinsey,Marketing Analyst,1-2,5.8
McKinsey,Operations Analyst,5-7,8.8
TCS,Business Analyst,7+,13.3
McKinsey,Business Analyst,0-1,4.9
PwC,Business Analyst,7+,12
Infosys,Marketing Analyst,3-5,7.4
HCL,Marketing Analyst,2-3,5.7
Wipro,Operations Analyst,0-1,3.9
Deloitte,Operations Analyst,1-2,4.3
Accenture,Operations Analyst,7+,9.3
Genpact,Financial Analyst,7+,13
ZS Associates,Business Analyst,2-3,6.6
Capgemini,Operations Analyst,2-3,5.3
Accenture,Operations Analyst,1-2,5.6
KPMG,Operations Analyst,3-5,7.8
Deloitte,Operations Analyst,3-5,6.8
KPMG,Business Analyst,1-2,6.3
McKinsey,Operations Analyst,1-2,5.1
PwC,Operations Analyst,5-7,9.1
EY,Marketing Analyst,1-2,4.9
HCL,Marketing Analyst,0-1,3.5
Infosys,Operations Analyst,1-2,5.4
Cognizant,Operations Analyst,1-2,3.3
Infosys,Financial Analyst,5-7,11
TCS,Data Analyst,5-7,10.5
Capgemini,Marketing Analyst,5-7,9.5
ZS Associates,Operations Analyst,3-5,6.6
HCL,Marketing Analyst,7+,10.3
Capgemini,Marketing Analyst,5-7,10.1
McKinsey,Financial Analyst,7+,12
Capgemini,Operations Analyst,2-3,6.2
PwC,Data Analyst,3-5,8.2
HCL,Data Analyst,7+,11.7
TCS,Business Analyst,3-5,8.8
Infosys,Operations Analyst,2-3,6.2
Capgemini,Financial Analyst,2-3,6.6
EY,Business Analyst,2-3,8.1
EY,Data Analyst,2-3,6.4
HCL,Marketing Analyst,2-3,6.5
ZS Associates,Operations Analyst,1-2,4.6
KPMG,Data Analyst,5-7,10
McKinsey,Data Analyst,7+,11.1
TCS,Data Analyst,3-5,8.3
TCS,Operations Analyst,3-5,7.2
Cognizant,Marketing Analyst,5-7,9.6
HCL,Operations Analyst,2-3,6.2
McKinsey,Financial Analyst,3-5,7.9
Accenture,Financial Analyst,0-1,5.5
PwC,Data Analyst,7+,13.1
Accenture,Business Analyst,5-7,10.9
IBM,Financial Analyst,7+,12.9
HCL,Financial Analyst,3-5,8.1
TCS,Operations Analyst,2-3,5.6
Deloitte,Operations Analyst,5-7,8.5
HCL,Marketing Analyst,5-7,8.8
McKinsey,Business Analyst,2-3,6.9
TCS,Financial Analyst,1-2,6.1
Cognizant,Operations Analyst,7+,10.3
TCS,Data Analyst,0-1,3.9
HCL,Marketing Analyst,5-7,8.7
EY,Marketing Analyst,1-2,4
IBM,Business Analyst,5-7,11.7
TCS,Financial Analyst,3-5,8.5
McKinsey,Data Analyst,0-1,5.2
Wipro,Marketing Analyst,0-1,4.3
HCL,Marketing Analyst,2-3,4.9
Deloitte,Financial Analyst,3-5,8.6
Deloitte,Financial Analyst,1-2,5
HCL,Financial Analyst,5-7,10.8
PwC,Data Analyst,7+,12.1
ZS Associates,Data Analyst,1-2,4.9
Wipro,Marketing Analyst,7+,11
McKinsey,Data Analyst,1-2,5.6
Genpact,Financial Analyst,7+,13.7
EY,Financial Analyst,3-5,8.2
Genpact,Marketing Analyst,3-5,7
KPMG,Operations Analyst,2-3,6.4
HCL,Data Analyst,7+,12.3
Wipro,Marketing Analyst,0-1,4.3
Capgemini,Marketing Analyst,2-3,5.4
PwC,Operations Analyst,7+,9.9
EY,Financial Analyst,2-3,7
ZS Associates,Business Analyst,5-7,10.8
Deloitte,Operations Analyst,5-7,8.6
HCL,Marketing Analyst,0-1,4.9
McKinsey,Operations Analyst,3-5,6.7
TCS,Financial Analyst,0-1,5
Capgemini,Marketing Analyst,3-5,7.9
McKinsey,Data Analyst,7+,12
McKinsey,Business Analyst,2-3,6.9
Accenture,Data Analyst,5-7,10.1
KPMG,Operations Analyst,2-3,5.2
Cognizant,Business Analyst,1-2,6
Accenture,Marketing Analyst,5-7,10.1
HCL,Financial Analyst,3-5,8.5
KPMG,Business Analyst,7+,13.1
EY,Operations Analyst,2-3,5.9
Capgemini,Marketing Analyst,5-7,8.8
ZS Associates,Marketing Analyst,1-2,5.5
Infosys,Marketing Analyst,1-2,5.1
Accenture,Marketing Analyst,5-7,8.8
Infosys,Business Analyst,0-1,4.8
PwC,Business Analyst,7+,12.6
TCS,Business Analyst,1-2,5.5
Infosys,Financial Analyst,2-3,6.6
Wipro,Business Analyst,3-5,7.7
HCL,Marketing Analyst,5-7,9.5
IBM,Data Analyst,7+,11.6
KPMG,Business Analyst,5-7,10.7
TCS,Financial Analyst,1-2,5.5
IBM,Data Analyst,2-3,6.4
Deloitte,Data Analyst,1-2,4.7
EY,Marketing Analyst,2-3,5.7
Cognizant,Data Analyst,5-7,10.5
Deloitte,Business Analyst,2-3,7
Cognizant,Operations Analyst,7+,10.3
Capgemini,Data Analyst,7+,11.4
Genpact,Operations Analyst,5-7,8.2
Wipro,Data Analyst,5-7,10.8
TCS,Financial Analyst,1-2,6.1
ZS Associates,Marketing Analyst,5-7,8.4
TCS,Marketing Analyst,0-1,4.1
TCS,Financial Analyst,0-1,4.3
TCS,Financial Analyst,5-7,10.8
Cognizant,Marketing Analyst,0-1,4.4
TCS,Operations Analyst,2-3,5.1
TCS,Marketing Analyst,0-1,4.6
Accenture,Data Analyst,7+,12.4
Wipro,Marketing Analyst,5-7,9
Accenture,Financial Analyst,7+,13.1
Accenture,Business Analyst,2-3,7.7
KPMG,Data Analyst,0-1,4.8
Capgemini,Business Analyst,7+,12.6
Accenture,Marketing Analyst,5-7,9.4
HCL,Data Analyst,7+,12.4
PwC,Marketing Analyst,3-5,8.3
Wipro,Business Analyst,0-1,4.5
Cognizant,Operations Analyst,3-5,6.9
Accenture,Financial Analyst,3-5,8.8
Deloitte,Marketing Analyst,0-1,4
Genpact,Marketing Analyst,1-2,5.1
IBM,Financial Analyst,2-3,6
HCL,Financial Analyst,3-5,8.2
Deloitte,Operations Analyst,3-5,6.2
KPMG,Operations Analyst,2-3,4.8
PwC,Financial Analyst,1-2,5.9
HCL,Financial Analyst,2-3,6.9
Cognizant,Data Analyst,0-1,4.2
Cognizant,Operations Analyst,0-1,3.4
EY,Operations Analyst,2-3,5.2
PwC,Financial Analyst,7+,12.8
Accenture,Data Analyst,3-5,7.7
Cognizant,Marketing Analyst,5-7,9.4
KPMG,Business Analyst,7+,13
Deloitte,Data Analyst,7+,12.2
Cognizant,Business Analyst,3-5,8.2
Genpact,Operations Analyst,0-1,4.1
TCS,Business Analyst,5-7,11.1
KPMG,Business Analyst,2-3,6.7
Capgemini,Operations Analyst,1-2,4.7
IBM,Financial Analyst,2-3,6.9
IBM,Business Analyst,5-7,10.2
PwC,Operations Analyst,2-3,5.3
Deloitte,Data Analyst,5-7,9.7
Infosys,Data Analyst,3-5,8
TCS,Operations Analyst,1-2,4.7
Cognizant,Data Analyst,3-5,7.2
HCL,Financial Analyst,2-3,7.1
McKinsey,Operations Analyst,0-1,3.4
Wipro,Business Analyst,1-2,6.6
TCS,Business Analyst,0-1,5.3
KPMG,Financial Analyst,5-7,10.4
Deloitte,Business Analyst,3-5,7.8
Capgemini,Financial Analyst,0-1,5.8
Cognizant,Data Analyst,0-1,4.3
IBM,Data Analyst,0-1,4.4
Accenture,Operations Analyst,5-7,8.5
TCS,Data Analyst,5-7,9.8
Wipro,Business Analyst,5-7,10.4
TCS,Data Analyst,0-1,4.9
Accenture,Marketing Analyst,3-5,7.8
Accenture,Marketing Analyst,7+,10.6
EY,Financial Analyst,0-1,4.8
TCS,Financial Analyst,2-3,6.7
KPMG,Marketing Analyst,7+,10.9
PwC,Operations Analyst,7+,11.5
Accenture,Financial Analyst,3-5,7.9
Cognizant,Marketing Analyst,3-5,7.9
HCL,Financial Analyst,5-7,10.9
Wipro,Business Analyst,5-7,11
PwC,Marketing Analyst,1-2,4.7
Cognizant,Operations Analyst,5-7,8.3
Accenture,Financial Analyst,2-3,7
Cognizant,Business Analyst,5-7,10.6
McKinsey,Business Analyst,2-3,6.7
Genpact,Business Analyst,3-5,7.5
